



# Class Name		Hit Dice	Type			Class Type			Abbreviation	Source Page		Define				Combat bonus															Modify VAR					Bonus
CLASS:Shadowcraft Mage	HD:4		TYPE:PC.Prestige	FACT:ClassType|Prestige	FACT:Abb|Art		SOURCEPAGE:p.120	DEFINE:ShadowcraftMageLVL|0	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*1/2|TYPE=Base.REPLACE|PREVAREQ:UseAlternateBABProgression,0	BONUS:VAR|ShadowcraftMageLVL|CL	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2
# Class Name			Required Skill				Required Spell
CLASS:Shadowcraft Mage	PRESKILL:2,Bluff=4,Hide=4	PREABILITY:1,CATEGORY=FEAT,Greater Spell Focus (Illusion),Spell Focus (Illusion)	PRESPELLSCHOOLSUB:1,Shadow=4	PRESPELLSCHOOL:3,Illusion=0
# Class Name			Required Race
CLASS:Shadowcraft Mage	PRERACE:1,Gnome%
# Class Name		Skill Pts/Lvl	Class Skill
CLASS:Shadowcraft Mage	STARTSKILLPTS:4	CSKILL:Bluff|Concentration|Disguise|Hide|Knowledge (arcana)|Move Silently|TYPE=Perform|Search|Spellcraft|Spot
1																						ADD:SPELLCASTER|Arcane
2																						ADD:SPELLCASTER|Arcane
3																						ADD:SPELLCASTER|Arcane
4																						ADD:SPELLCASTER|Arcane
5																						ADD:SPELLCASTER|Arcane

1	ABILITY:Shadowcraft Mage Class Feature|AUTOMATIC|Shadowcraft Mage ~ Weapon and Armor Proficiency
1	ABILITY:Shadowcraft Mage Class Feature|AUTOMATIC|Shadowcraft Mage ~ Spells per Day/Spells Known
1	ABILITY:Shadowcraft Mage Class Feature|AUTOMATIC|Shadowcraft Mage ~ Cloak of Shadow
2	ABILITY:Shadowcraft Mage Class Feature|AUTOMATIC|Shadowcraft Mage ~ Silent illusion
3	ABILITY:Shadowcraft Mage Class Feature|AUTOMATIC|Shadowcraft Mage ~ Shadow illusion
4	ABILITY:Shadowcraft Mage Class Feature|AUTOMATIC|Shadowcraft Mage ~ Extended illusion
5	ABILITY:Shadowcraft Mage Class Feature|AUTOMATIC|Shadowcraft Mage ~ Powerful shadow magic


